ID,タイトル,著者,出版社,作成日,説明文
1,種の起源,チャールズ・ダーウィン,Project Gutenberg,2026/01/06,生物の種は不変ではなく、変異のなかから環境に適したものが生き残ることで移り変わってきたと論じる。家畜や作物の育種、化石の記録、島ごとに異なる生物の分布など広範な観察を積み上げ、自然選択という仕組みを示した生物学の書。
2,ビーグル号航海記,チャールズ・ダーウィン,Project Gutenberg,2026/01/11,測量船に同乗した若い博物学者が、南米の海岸から内陸の草原、そしてガラパゴス諸島までを巡り、動植物と地層を記録していく。島ごとに姿の異なる鳥や亀の観察が書きとめられた、五年間の航海の日誌。
3,人間の由来,チャールズ・ダーウィン,Project Gutenberg,2026/01/17,人間もほかの動物と同じ由来をもつことを、骨格や発生の共通点から示し、さらに配偶者の選択が体色や装飾、声などの差を生むという性選択の考えを展開する。動物の求愛行動を広く集めた考察の書。
4,ミミズと土,チャールズ・ダーウィン,Project Gutenberg,2026/01/23,庭や牧草地のミミズが土を飲み込み糞として地表に積み上げる量を、年ごとに測り続けて記録する。小さな動物の地味な働きが長い年月をかけて地表を作りかえていく過程を明らかにした観察の記録。
5,昆虫記,ジャン・アンリ・ファーブル,Project Gutenberg,2026/01/29,南フランスの荒れ地で、狩りをする蜂、糞を転がす甲虫、歌う蝉などの暮らしを、飼育と野外の観察で追いかける。本能の精確さと不器用さを、実験で確かめながら語る博物誌。
6,マレー諸島,アルフレッド・ラッセル・ウォレス,Project Gutenberg,2026/02/04,標本採集のために東南アジアの島々を渡り歩き、極楽鳥や昆虫を集めながら、島を境に動物の種類が入れ替わる線の存在に気づいていく。生物の分布と地理を結びつけた探検の記録。
7,自然における人間の位置,トマス・ヘンリー・ハクスリー,Project Gutenberg,2026/02/09,類人猿と人間の骨や脳を並べて比べ、人間を動物の系列のなかに置くことの意味を論じる。進化の考えを一般の読者に向けて擁護した講演をもとにした論集。
8,ロウソクの科学,マイケル・ファラデー,Project Gutenberg,2026/02/15,一本のロウソクが燃える様子を入口に、炎の構造、空気の役割、燃焼で生じる水と気体までを、目の前の実験で順に確かめていく。少年少女に向けた連続講演を書きおこした化学の入門書。
9,自然哲学の数学的諸原理,アイザック・ニュートン,Project Gutenberg,2026/02/21,運動の三法則と万有引力の法則を立て、幾何学の証明を積み重ねて天体と地上の物体の運動を同じ原理から導く。惑星の軌道や潮の満ち引きまでを説明した古典力学の書。
10,光学,アイザック・ニュートン,Project Gutenberg,2026/02/27,プリズムで日光を分け、色は光そのものに備わる性質だと実験で示す。反射と屈折、薄膜の色、細い光の筋の振る舞いを、道具と手順を細かく記した実験報告として並べた書。
11,物質と運動,ジェームズ・クラーク・マクスウェル,Project Gutenberg,2026/03/04,質量、力、エネルギーといった力学の基本概念を、余分な数式を避けて定義から組み立て直す。物体の運動を考えるための枠組みを短くまとめた解説書。
12,火の動力についての考察,サディ・カルノー,Project Gutenberg,2026/03/10,蒸気機関がどれだけの仕事を取り出せるかを、熱が高い温度から低い温度へ落ちる過程として捉えて考える。理想的な循環を想定し、機関の効率に上限があることを示した熱力学の出発点となる論考。
13,特殊および一般相対性理論について,アルベルト・アインシュタイン,Project Gutenberg,2026/03/16,走る列車と光の速さという身近な例から始め、同時であることが観測者によって変わることを説く。さらに加速と重力の等価から、時空の曲がりとして重力を捉える考えへ進む一般向けの解説。
